Building ID,yield drift,yield force,peak drift,peak force,2% drift,2% force,2% area,fitted initial stiffness,fitted hardening stiffness,fitted hardening ratio,hardening ratio
0,0.008631225,0.527950646,0.04,0.5730506670000001,0.02,0.548774222,0.008390455,60.82046599,1.5358600669999998,0.025252356,0.025252356
1,0.008394366,0.552554242,0.0225641,0.6062835560000001,0.02,0.602612778,0.00904574,65.7420162,4.418895341,0.067215695,0.05
2,0.007875779,0.5235733220000001,0.00955128,0.545326141,0.02,0.54168202,0.008638209,66.47864533,14.386367300000002,0.21640584300000001,0.05
3,0.008010216,0.913666566,0.00929487,0.996107627,0.00929487,0.996107627,0.00488604,114.0626713,64.18726498,0.56273682,0.05
4,0.008620266,0.608565396,0.012948699999999999,0.6680302220000001,0.02,0.664969444,0.010107368,70.46166435,15.48927131,0.21982551,0.05
5,0.008435499,0.5470470789999999,0.0149359,0.620076364,0.02,0.6175357579999999,0.009279473,64.77643519,13.21866091,0.20406589,0.05
6,0.008419761,0.554187191,0.014679499999999998,0.594090667,0.02,0.5911096889999999,0.009114961999999999,65.73608109,7.986994049,0.121500916,0.05
7,0.008167866,0.9102869790000001,0.010576899999999998,0.999048222,0.010576899999999998,0.999048222,0.006027638,111.43326119999999,40.13502629,0.360170975,0.05
8,0.008423106999999999,0.678965018,0.013397399999999999,0.76034804,0.02,0.757953535,0.011479805,80.5303842,18.38082694,0.22824710399999998,0.05
9,0.011364255,0.66909513,0.0175641,0.7134350220000001,0.02,0.712672889,0.009844449,58.71604927,7.628216335,0.129917057,0.05
10,0.01055381,0.6969681870000001,0.028760700000000004,0.6983787779999999,0.02,0.697805,0.010265709,66.03596637,0.083407757,0.001263066,0.001263066
11,0.010065873000000001,0.634397845,0.0101709,0.636099556,0.02,0.635526869,0.009509074000000001,63.02462009,17.573392000000002,0.278833763,0.05
12,0.012073125,0.751871672,0.0163675,0.8209640890000001,0.02,0.819520356,0.010911927,62.24506184,17.61049404,0.28292194600000004,0.05
13,0.011864725,0.7309229140000001,0.0399573,0.753305,0.02,0.7443638890000001,0.010329799999999998,61.22085206,0.9562182229999999,0.015619158999999999,0.015619158999999999
14,0.011109738999999999,0.738290617,0.0183761,0.784137778,0.02,0.7835834340000001,0.010952478,66.34255726,7.8222534470000005,0.11790702300000001,0.05
15,0.011606865,0.9806006820000001,0.0121368,0.9988136000000001,0.0121368,0.9988136000000001,0.006215663000000001,84.48257777,35.74158857,0.42306460700000004,0.05
16,0.011979428,0.739228358,0.0168803,0.809323778,0.02,0.8080977779999999,0.010766743999999998,61.68863638,15.95412969,0.258623478,0.05
17,0.012385817,0.7548734420000001,0.0399573,0.768740929,0.02,0.7676004040000001,0.01046399,60.48204775,0.710114548,0.011740914,0.011740914
18,0.013997158999999999,0.6948132459999999,0.021153799999999997,0.7527612440000001,0.02,0.7451760000000001,0.009222560999999999,49.36207338,8.743951852,0.17713907199999998,0.05
19,0.012920206000000002,0.643776396,0.0135256,0.652604333,0.02,0.652165,0.008775202,49.82693212,15.21117812,0.30528024600000003,0.05
20,0.011114405,0.7632444970000001,0.028333299999999995,0.778507556,0.02,0.778110303,0.011108593,68.32122999,1.272798695,0.018629622,0.018629622
