floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
10137.6,88,70,286,420,4983,3906
10137.6,88,70,278,420,4985,3906
10137.6,88,70,278,420,4985,3906
14169.6,123,20,478,120,6941,1116
