building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,R,Cs lower bound 1,Cs lower bound 2,drift limit,Ss,S1,site class
68,5,30,1.0,5,80,60,10,0.044,0.5,0.03,2,0.9,C
69,5,30,1.0,5,80,60,10,0.044,0.5,0.03,2,0.9,D
70,5,30,1.0,5,80,60,10,0.044,0.5,0.03,1.5,0.6,C
71,5,30,1.0,5,80,60,10,0.044,0.5,0.03,1.5,0.6,D
72,5,30,1.0,5,80,60,10,0.0294,0.334,0.02,2.5,1.2,C
73,5,30,1.0,5,80,60,10,0.0294,0.334,0.02,2.5,1.2,D
74,5,30,1.0,5,80,60,10,0.0294,0.334,0.02,2,0.9,C
75,5,30,1.0,5,80,60,10,0.0294,0.334,0.02,2,0.9,D
76,5,30,1.0,5,80,60,10,0.0294,0.334,0.02,1.5,0.6,C
77,5,30,1.0,5,80,60,10,0.0294,0.334,0.02,1.5,0.6,D
78,5,30,1.0,5,80,60,10,0.0294,0.334,0.025,2.5,1.2,C
79,5,30,1.0,5,80,60,10,0.0294,0.334,0.025,2.5,1.2,D
80,5,30,1.0,5,80,60,10,0.0294,0.334,0.025,2,0.9,C
81,5,30,1.0,5,80,60,10,0.0294,0.334,0.025,2,0.9,D
82,5,30,1.0,5,80,60,10,0.0294,0.334,0.025,1.5,0.6,C
83,5,30,1.0,5,80,60,10,0.0294,0.334,0.025,1.5,0.6,D
84,5,30,1.0,5,80,60,10,0.0294,0.334,0.03,2.5,1.2,C
85,5,30,1.0,5,80,60,10,0.0294,0.334,0.03,2.5,1.2,D
86,5,30,1.0,5,80,60,10,0.0294,0.334,0.03,2,0.9,C
87,5,30,1.0,5,80,60,10,0.0294,0.334,0.03,2,0.9,D
88,5,30,1.0,5,80,60,10,0.0294,0.334,0.03,1.5,0.6,C
89,5,30,1.0,5,80,60,10,0.0294,0.334,0.03,1.5,0.6,D
90,5,30,1.0,5,80,60,10,0.0146,0.167,0.02,2.5,1.2,C
91,5,30,1.0,5,80,60,10,0.0146,0.167,0.02,2.5,1.2,D
92,5,30,1.0,5,80,60,10,0.0146,0.167,0.02,2,0.9,C
93,5,30,1.0,5,80,60,10,0.0146,0.167,0.02,2,0.9,D
94,5,30,1.0,5,80,60,10,0.0146,0.167,0.02,1.5,0.6,C
95,5,30,1.0,5,80,60,10,0.0146,0.167,0.02,1.5,0.6,D
96,5,30,1.0,5,80,60,10,0.0146,0.167,0.025,2.5,1.2,C
97,5,30,1.0,5,80,60,10,0.0146,0.167,0.025,2.5,1.2,D
98,5,30,1.0,5,80,60,10,0.0146,0.167,0.025,2,0.9,C
99,5,30,1.0,5,80,60,10,0.0146,0.167,0.025,2,0.9,D
100,5,30,1.0,5,80,60,10,0.0146,0.167,0.025,1.5,0.6,C
101,5,30,1.0,5,80,60,10,0.0146,0.167,0.025,1.5,0.6,D
102,5,30,1.0,5,80,60,10,0.0146,0.167,0.03,2.5,1.2,C
103,5,30,1.0,5,80,60,10,0.0146,0.167,0.03,2.5,1.2,D
104,5,30,1.0,5,80,60,10,0.0146,0.167,0.03,2,0.9,C
105,5,30,1.0,5,80,60,10,0.0146,0.167,0.03,2,0.9,D
106,5,30,1.0,5,80,60,10,0.0146,0.167,0.03,1.5,0.6,C
107,5,30,1.0,5,80,60,10,0.0146,0.167,0.03,1.5,0.6,D
108,5,30,1.0,5,80,60,12,0.044,0.5,0.02,2.5,1.2,C
109,5,30,1.0,5,80,60,12,0.044,0.5,0.02,2.5,1.2,D
110,5,30,1.0,5,80,60,12,0.044,0.5,0.02,2,0.9,C
111,5,30,1.0,5,80,60,12,0.044,0.5,0.02,2,0.9,D
112,5,30,1.0,5,80,60,12,0.044,0.5,0.02,1.5,0.6,C
113,5,30,1.0,5,80,60,12,0.044,0.5,0.02,1.5,0.6,D
114,5,30,1.0,5,80,60,12,0.044,0.5,0.025,2.5,1.2,C
115,5,30,1.0,5,80,60,12,0.044,0.5,0.025,2.5,1.2,D
116,5,30,1.0,5,80,60,12,0.044,0.5,0.025,2,0.9,C
117,5,30,1.0,5,80,60,12,0.044,0.5,0.025,2,0.9,D
118,5,30,1.0,5,80,60,12,0.044,0.5,0.025,1.5,0.6,C
