building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,column beam ratio
159,5,20,1.5,3,110,115,1
160,5,20,1.5,3,110,115,1.5
161,5,20,1.5,3,110,115,2
162,5,20,1.5,5,50,20,1
163,5,20,1.5,5,50,20,1.5
164,5,20,1.5,5,50,20,2
165,5,20,1.5,5,50,67.5,1
166,5,20,1.5,5,50,67.5,1.5
167,5,20,1.5,5,50,67.5,2
168,5,20,1.5,5,50,115,1
169,5,20,1.5,5,50,115,1.5
170,5,20,1.5,5,50,115,2
171,5,20,1.5,5,80,20,1
172,5,20,1.5,5,80,20,1.5
173,5,20,1.5,5,80,20,2
174,5,20,1.5,5,80,67.5,1
175,5,20,1.5,5,80,67.5,1.5
176,5,20,1.5,5,80,67.5,2
177,5,20,1.5,5,80,115,1
178,5,20,1.5,5,80,115,1.5
179,5,20,1.5,5,80,115,2
180,5,20,1.5,5,110,20,1
181,5,20,1.5,5,110,20,1.5
182,5,20,1.5,5,110,20,2
183,5,20,1.5,5,110,67.5,1
184,5,20,1.5,5,110,67.5,1.5
185,5,20,1.5,5,110,67.5,2
186,5,20,1.5,5,110,115,1
187,5,20,1.5,5,110,115,1.5
188,5,20,1.5,5,110,115,2
189,5,20,2,3,50,20,1
190,5,20,2,3,50,20,1.5
191,5,20,2,3,50,20,2
192,5,20,2,3,50,67.5,1
193,5,20,2,3,50,67.5,1.5
194,5,20,2,3,50,67.5,2
195,5,20,2,3,50,115,1
196,5,20,2,3,50,115,1.5
197,5,20,2,3,50,115,2
198,5,20,2,3,80,20,1
199,5,20,2,3,80,20,1.5
200,5,20,2,3,80,20,2
201,5,20,2,3,80,67.5,1
202,5,20,2,3,80,67.5,1.5
203,5,20,2,3,80,67.5,2
204,5,20,2,3,80,115,1
205,5,20,2,3,80,115,1.5
206,5,20,2,3,80,115,2
207,5,20,2,3,110,20,1
208,5,20,2,3,110,20,1.5
209,5,20,2,3,110,20,2
210,5,20,2,3,110,67.5,1
211,5,20,2,3,110,67.5,1.5
212,5,20,2,3,110,67.5,2
213,5,20,2,3,110,115,1
214,5,20,2,3,110,115,1.5
215,5,20,2,3,110,115,2
216,5,20,2,5,50,20,1
217,5,20,2,5,50,20,1.5
218,5,20,2,5,50,20,2
219,5,20,2,5,50,67.5,1
220,5,20,2,5,50,67.5,1.5
221,5,20,2,5,50,67.5,2
222,5,20,2,5,50,115,1
223,5,20,2,5,50,115,1.5
224,5,20,2,5,50,115,2
225,5,20,2,5,80,20,1
226,5,20,2,5,80,20,1.5
227,5,20,2,5,80,20,2
228,5,20,2,5,80,67.5,1
229,5,20,2,5,80,67.5,1.5
230,5,20,2,5,80,67.5,2
231,5,20,2,5,80,115,1
232,5,20,2,5,80,115,1.5
233,5,20,2,5,80,115,2
234,5,20,2,5,110,20,1
235,5,20,2,5,110,20,1.5
236,5,20,2,5,110,20,2
237,5,20,2,5,110,67.5,1
238,5,20,2,5,110,67.5,1.5
239,5,20,2,5,110,67.5,2
240,5,20,2,5,110,115,1
241,5,20,2,5,110,115,1.5
242,5,20,2,5,110,115,2
243,5,30,1,3,50,20,1
244,5,30,1,3,50,20,1.5
245,5,30,1,3,50,20,2
246,5,30,1,3,50,67.5,1
247,5,30,1,3,50,67.5,1.5
248,5,30,1,3,50,67.5,2
249,5,30,1,3,50,115,1
250,5,30,1,3,50,115,1.5
251,5,30,1,3,50,115,2
252,5,30,1,3,80,20,1
253,5,30,1,3,80,20,1.5
254,5,30,1,3,80,20,2
255,5,30,1,3,80,67.5,1
256,5,30,1,3,80,67.5,1.5
257,5,30,1,3,80,67.5,2
258,5,30,1,3,80,115,1
259,5,30,1,3,80,115,1.5
260,5,30,1,3,80,115,2
261,5,30,1,3,110,20,1
262,5,30,1,3,110,20,1.5
263,5,30,1,3,110,20,2
264,5,30,1,3,110,67.5,1
265,5,30,1,3,110,67.5,1.5
266,5,30,1,3,110,67.5,2
267,5,30,1,3,110,115,1
268,5,30,1,3,110,115,1.5
269,5,30,1,3,110,115,2
270,5,30,1,5,50,20,1
271,5,30,1,5,50,20,1.5
272,5,30,1,5,50,20,2
273,5,30,1,5,50,67.5,1
274,5,30,1,5,50,67.5,1.5
275,5,30,1,5,50,67.5,2
276,5,30,1,5,50,115,1
277,5,30,1,5,50,115,1.5
278,5,30,1,5,50,115,2
279,5,30,1,5,80,20,1
280,5,30,1,5,80,20,1.5
281,5,30,1,5,80,20,2
282,5,30,1,5,80,67.5,1
283,5,30,1,5,80,67.5,1.5
284,5,30,1,5,80,67.5,2
285,5,30,1,5,80,115,1
286,5,30,1,5,80,115,1.5
287,5,30,1,5,80,115,2
288,5,30,1,5,110,20,1
289,5,30,1,5,110,20,1.5
290,5,30,1,5,110,20,2
291,5,30,1,5,110,67.5,1
292,5,30,1,5,110,67.5,1.5
293,5,30,1,5,110,67.5,2
294,5,30,1,5,110,115,1
295,5,30,1,5,110,115,1.5
296,5,30,1,5,110,115,2
297,5,30,1.5,3,50,20,1
298,5,30,1.5,3,50,20,1.5
299,5,30,1.5,3,50,20,2
300,5,30,1.5,3,50,67.5,1
301,5,30,1.5,3,50,67.5,1.5
302,5,30,1.5,3,50,67.5,2
303,5,30,1.5,3,50,115,1
304,5,30,1.5,3,50,115,1.5
305,5,30,1.5,3,50,115,2
306,5,30,1.5,3,80,20,1
307,5,30,1.5,3,80,20,1.5
308,5,30,1.5,3,80,20,2
309,5,30,1.5,3,80,67.5,1
310,5,30,1.5,3,80,67.5,1.5
311,5,30,1.5,3,80,67.5,2
312,5,30,1.5,3,80,115,1
313,5,30,1.5,3,80,115,1.5
314,5,30,1.5,3,80,115,2
315,5,30,1.5,3,110,20,1
316,5,30,1.5,3,110,20,1.5
317,5,30,1.5,3,110,20,2
318,5,30,1.5,3,110,67.5,1
319,5,30,1.5,3,110,67.5,1.5
320,5,30,1.5,3,110,67.5,2
321,5,30,1.5,3,110,115,1
322,5,30,1.5,3,110,115,1.5
323,5,30,1.5,3,110,115,2
324,5,30,1.5,5,50,20,1
325,5,30,1.5,5,50,20,1.5
326,5,30,1.5,5,50,20,2
327,5,30,1.5,5,50,67.5,1
328,5,30,1.5,5,50,67.5,1.5
329,5,30,1.5,5,50,67.5,2
330,5,30,1.5,5,50,115,1
331,5,30,1.5,5,50,115,1.5
332,5,30,1.5,5,50,115,2
333,5,30,1.5,5,80,20,1
334,5,30,1.5,5,80,20,1.5
335,5,30,1.5,5,80,20,2
336,5,30,1.5,5,80,67.5,1
337,5,30,1.5,5,80,67.5,1.5
338,5,30,1.5,5,80,67.5,2
339,5,30,1.5,5,80,115,1
340,5,30,1.5,5,80,115,1.5
341,5,30,1.5,5,80,115,2
342,5,30,1.5,5,110,20,1
343,5,30,1.5,5,110,20,1.5
344,5,30,1.5,5,110,20,2
345,5,30,1.5,5,110,67.5,1
346,5,30,1.5,5,110,67.5,1.5
347,5,30,1.5,5,110,67.5,2
348,5,30,1.5,5,110,115,1
349,5,30,1.5,5,110,115,1.5
350,5,30,1.5,5,110,115,2
351,5,30,2,3,50,20,1
352,5,30,2,3,50,20,1.5
353,5,30,2,3,50,20,2
354,5,30,2,3,50,67.5,1
355,5,30,2,3,50,67.5,1.5
356,5,30,2,3,50,67.5,2
357,5,30,2,3,50,115,1
358,5,30,2,3,50,115,1.5
359,5,30,2,3,50,115,2
360,5,30,2,3,80,20,1
361,5,30,2,3,80,20,1.5
362,5,30,2,3,80,20,2
363,5,30,2,3,80,67.5,1
364,5,30,2,3,80,67.5,1.5
365,5,30,2,3,80,67.5,2
366,5,30,2,3,80,115,1
367,5,30,2,3,80,115,1.5
368,5,30,2,3,80,115,2
369,5,30,2,3,110,20,1
370,5,30,2,3,110,20,1.5
371,5,30,2,3,110,20,2
372,5,30,2,3,110,67.5,1
373,5,30,2,3,110,67.5,1.5
374,5,30,2,3,110,67.5,2
375,5,30,2,3,110,115,1
376,5,30,2,3,110,115,1.5
377,5,30,2,3,110,115,2
378,5,30,2,5,50,20,1
379,5,30,2,5,50,20,1.5
380,5,30,2,5,50,20,2
381,5,30,2,5,50,67.5,1
