building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,column beam ratio
0,1,20,1,1,50,20,1
1,1,20,1,1,50,20,1.5
2,1,20,1,1,50,20,2
3,1,20,1,1,50,67.5,1
4,1,20,1,1,50,67.5,1.5
5,1,20,1,1,50,67.5,2
6,1,20,1,1,50,115,1
7,1,20,1,1,50,115,1.5
8,1,20,1,1,50,115,2
9,1,20,1,1,80,20,1
10,1,20,1,1,80,20,1.5
11,1,20,1,1,80,20,2
12,1,20,1,1,80,67.5,1
13,1,20,1,1,80,67.5,1.5
14,1,20,1,1,80,67.5,2
15,1,20,1,1,80,115,1
16,1,20,1,1,80,115,1.5
17,1,20,1,1,80,115,2
18,1,20,1,1,110,20,1
19,1,20,1,1,110,20,1.5
20,1,20,1,1,110,20,2
21,1,20,1,1,110,67.5,1
22,1,20,1,1,110,67.5,1.5
23,1,20,1,1,110,67.5,2
24,1,20,1,1,110,115,1
25,1,20,1,1,110,115,1.5
26,1,20,1,1,110,115,2
27,1,20,1,3,50,20,1
28,1,20,1,3,50,20,1.5
29,1,20,1,3,50,20,2
30,1,20,1,3,50,67.5,1
31,1,20,1,3,50,67.5,1.5
32,1,20,1,3,50,67.5,2
33,1,20,1,3,50,115,1
34,1,20,1,3,50,115,1.5
35,1,20,1,3,50,115,2
36,1,20,1,3,80,20,1
37,1,20,1,3,80,20,1.5
38,1,20,1,3,80,20,2
39,1,20,1,3,80,67.5,1
40,1,20,1,3,80,67.5,1.5
41,1,20,1,3,80,67.5,2
42,1,20,1,3,80,115,1
43,1,20,1,3,80,115,1.5
44,1,20,1,3,80,115,2
45,1,20,1,3,110,20,1
46,1,20,1,3,110,20,1.5
47,1,20,1,3,110,20,2
48,1,20,1,3,110,67.5,1
49,1,20,1,3,110,67.5,1.5
50,1,20,1,3,110,67.5,2
51,1,20,1,3,110,115,1
52,1,20,1,3,110,115,1.5
53,1,20,1,3,110,115,2
54,1,20,1,5,50,20,1
55,1,20,1,5,50,20,1.5
56,1,20,1,5,50,20,2
57,1,20,1,5,50,67.5,1
58,1,20,1,5,50,67.5,1.5
59,1,20,1,5,50,67.5,2
60,1,20,1,5,50,115,1
61,1,20,1,5,50,115,1.5
62,1,20,1,5,50,115,2
63,1,20,1,5,80,20,1
64,1,20,1,5,80,20,1.5
65,1,20,1,5,80,20,2
66,1,20,1,5,80,67.5,1
67,1,20,1,5,80,67.5,1.5
68,1,20,1,5,80,67.5,2
69,1,20,1,5,80,115,1
70,1,20,1,5,80,115,1.5
71,1,20,1,5,80,115,2
72,1,20,1,5,110,20,1
73,1,20,1,5,110,20,1.5
74,1,20,1,5,110,20,2
75,1,20,1,5,110,67.5,1
76,1,20,1,5,110,67.5,1.5
77,1,20,1,5,110,67.5,2
78,1,20,1,5,110,115,1
79,1,20,1,5,110,115,1.5
80,1,20,1,5,110,115,2
81,1,20,1.5,1,50,20,1
82,1,20,1.5,1,50,20,1.5
83,1,20,1.5,1,50,20,2
84,1,20,1.5,1,50,67.5,1
85,1,20,1.5,1,50,67.5,1.5
86,1,20,1.5,1,50,67.5,2
87,1,20,1.5,1,50,115,1
88,1,20,1.5,1,50,115,1.5
89,1,20,1.5,1,50,115,2
90,1,20,1.5,1,80,20,1
91,1,20,1.5,1,80,20,1.5
92,1,20,1.5,1,80,20,2
93,1,20,1.5,1,80,67.5,1
94,1,20,1.5,1,80,67.5,1.5
95,1,20,1.5,1,80,67.5,2
96,1,20,1.5,1,80,115,1
97,1,20,1.5,1,80,115,1.5
98,1,20,1.5,1,80,115,2
99,1,20,1.5,1,110,20,1
100,1,20,1.5,1,110,20,1.5
101,1,20,1.5,1,110,20,2
102,1,20,1.5,1,110,67.5,1
103,1,20,1.5,1,110,67.5,1.5
104,1,20,1.5,1,110,67.5,2
105,1,20,1.5,1,110,115,1
106,1,20,1.5,1,110,115,1.5
107,1,20,1.5,1,110,115,2
108,1,20,1.5,3,50,20,1
109,1,20,1.5,3,50,20,1.5
110,1,20,1.5,3,50,20,2
111,1,20,1.5,3,50,67.5,1
112,1,20,1.5,3,50,67.5,1.5
113,1,20,1.5,3,50,67.5,2
114,1,20,1.5,3,50,115,1
115,1,20,1.5,3,50,115,1.5
116,1,20,1.5,3,50,115,2
117,1,20,1.5,3,80,20,1
118,1,20,1.5,3,80,20,1.5
119,1,20,1.5,3,80,20,2
120,1,20,1.5,3,80,67.5,1
121,1,20,1.5,3,80,67.5,1.5
122,1,20,1.5,3,80,67.5,2
123,1,20,1.5,3,80,115,1
124,1,20,1.5,3,80,115,1.5
125,1,20,1.5,3,80,115,2
126,1,20,1.5,3,110,20,1
127,1,20,1.5,3,110,20,1.5
128,1,20,1.5,3,110,20,2
129,1,20,1.5,3,110,67.5,1
130,1,20,1.5,3,110,67.5,1.5
131,1,20,1.5,3,110,67.5,2
132,1,20,1.5,3,110,115,1
133,1,20,1.5,3,110,115,1.5
134,1,20,1.5,3,110,115,2
135,1,20,1.5,5,50,20,1
136,1,20,1.5,5,50,20,1.5
137,1,20,1.5,5,50,20,2
138,1,20,1.5,5,50,67.5,1
139,1,20,1.5,5,50,67.5,1.5
140,1,20,1.5,5,50,67.5,2
141,1,20,1.5,5,50,115,1
142,1,20,1.5,5,50,115,1.5
143,1,20,1.5,5,50,115,2
144,1,20,1.5,5,80,20,1
145,1,20,1.5,5,80,20,1.5
146,1,20,1.5,5,80,20,2
147,1,20,1.5,5,80,67.5,1
148,1,20,1.5,5,80,67.5,1.5
149,1,20,1.5,5,80,67.5,2
150,1,20,1.5,5,80,115,1
151,1,20,1.5,5,80,115,1.5
152,1,20,1.5,5,80,115,2
153,1,20,1.5,5,110,20,1
154,1,20,1.5,5,110,20,1.5
155,1,20,1.5,5,110,20,2
156,1,20,1.5,5,110,67.5,1
157,1,20,1.5,5,110,67.5,1.5
158,1,20,1.5,5,110,67.5,2
159,1,20,1.5,5,110,115,1
160,1,20,1.5,5,110,115,1.5
161,1,20,1.5,5,110,115,2
162,1,20,2,1,50,20,1
163,1,20,2,1,50,20,1.5
164,1,20,2,1,50,20,2
165,1,20,2,1,50,67.5,1
166,1,20,2,1,50,67.5,1.5
167,1,20,2,1,50,67.5,2
168,1,20,2,1,50,115,1
169,1,20,2,1,50,115,1.5
170,1,20,2,1,50,115,2
171,1,20,2,1,80,20,1
172,1,20,2,1,80,20,1.5
173,1,20,2,1,80,20,2
174,1,20,2,1,80,67.5,1
175,1,20,2,1,80,67.5,1.5
176,1,20,2,1,80,67.5,2
177,1,20,2,1,80,115,1
178,1,20,2,1,80,115,1.5
179,1,20,2,1,80,115,2
180,1,20,2,1,110,20,1
181,1,20,2,1,110,20,1.5
182,1,20,2,1,110,20,2
183,1,20,2,1,110,67.5,1
184,1,20,2,1,110,67.5,1.5
185,1,20,2,1,110,67.5,2
186,1,20,2,1,110,115,1
187,1,20,2,1,110,115,1.5
188,1,20,2,1,110,115,2
189,1,20,2,3,50,20,1
190,1,20,2,3,50,20,1.5
191,1,20,2,3,50,20,2
192,1,20,2,3,50,67.5,1
193,1,20,2,3,50,67.5,1.5
194,1,20,2,3,50,67.5,2
195,1,20,2,3,50,115,1
196,1,20,2,3,50,115,1.5
197,1,20,2,3,50,115,2
198,1,20,2,3,80,20,1
199,1,20,2,3,80,20,1.5
200,1,20,2,3,80,20,2
201,1,20,2,3,80,67.5,1
202,1,20,2,3,80,67.5,1.5
203,1,20,2,3,80,67.5,2
204,1,20,2,3,80,115,1
205,1,20,2,3,80,115,1.5
206,1,20,2,3,80,115,2
207,1,20,2,3,110,20,1
208,1,20,2,3,110,20,1.5
209,1,20,2,3,110,20,2
210,1,20,2,3,110,67.5,1
211,1,20,2,3,110,67.5,1.5
212,1,20,2,3,110,67.5,2
213,1,20,2,3,110,115,1
214,1,20,2,3,110,115,1.5
215,1,20,2,3,110,115,2
216,1,20,2,5,50,20,1
217,1,20,2,5,50,20,1.5
218,1,20,2,5,50,20,2
219,1,20,2,5,50,67.5,1
220,1,20,2,5,50,67.5,1.5
221,1,20,2,5,50,67.5,2
222,1,20,2,5,50,115,1
223,1,20,2,5,50,115,1.5
224,1,20,2,5,50,115,2
225,1,20,2,5,80,20,1
226,1,20,2,5,80,20,1.5
227,1,20,2,5,80,20,2
228,1,20,2,5,80,67.5,1
229,1,20,2,5,80,67.5,1.5
230,1,20,2,5,80,67.5,2
231,1,20,2,5,80,115,1
232,1,20,2,5,80,115,1.5
233,1,20,2,5,80,115,2
234,1,20,2,5,110,20,1
235,1,20,2,5,110,20,1.5
236,1,20,2,5,110,20,2
237,1,20,2,5,110,67.5,1
238,1,20,2,5,110,67.5,1.5
239,1,20,2,5,110,67.5,2
240,1,20,2,5,110,115,1
241,1,20,2,5,110,115,1.5
242,1,20,2,5,110,115,2
243,1,30,1,1,50,20,1
244,1,30,1,1,50,20,1.5
245,1,30,1,1,50,20,2
246,1,30,1,1,50,67.5,1
247,1,30,1,1,50,67.5,1.5
248,1,30,1,1,50,67.5,2
249,1,30,1,1,50,115,1
250,1,30,1,1,50,115,1.5
251,1,30,1,1,50,115,2
252,1,30,1,1,80,20,1
253,1,30,1,1,80,20,1.5
254,1,30,1,1,80,20,2
255,1,30,1,1,80,67.5,1
256,1,30,1,1,80,67.5,1.5
257,1,30,1,1,80,67.5,2
258,1,30,1,1,80,115,1
259,1,30,1,1,80,115,1.5
260,1,30,1,1,80,115,2
261,1,30,1,1,110,20,1
262,1,30,1,1,110,20,1.5
263,1,30,1,1,110,20,2
264,1,30,1,1,110,67.5,1
265,1,30,1,1,110,67.5,1.5
266,1,30,1,1,110,67.5,2
267,1,30,1,1,110,115,1
268,1,30,1,1,110,115,1.5
269,1,30,1,1,110,115,2
270,1,30,1,3,50,20,1
271,1,30,1,3,50,20,1.5
272,1,30,1,3,50,20,2
273,1,30,1,3,50,67.5,1
274,1,30,1,3,50,67.5,1.5
275,1,30,1,3,50,67.5,2
276,1,30,1,3,50,115,1
277,1,30,1,3,50,115,1.5
278,1,30,1,3,50,115,2
279,1,30,1,3,80,20,1
280,1,30,1,3,80,20,1.5
281,1,30,1,3,80,20,2
282,1,30,1,3,80,67.5,1
283,1,30,1,3,80,67.5,1.5
284,1,30,1,3,80,67.5,2
285,1,30,1,3,80,115,1
286,1,30,1,3,80,115,1.5
287,1,30,1,3,80,115,2
288,1,30,1,3,110,20,1
289,1,30,1,3,110,20,1.5
290,1,30,1,3,110,20,2
291,1,30,1,3,110,67.5,1
292,1,30,1,3,110,67.5,1.5
293,1,30,1,3,110,67.5,2
294,1,30,1,3,110,115,1
295,1,30,1,3,110,115,1.5
296,1,30,1,3,110,115,2
297,1,30,1,5,50,20,1
298,1,30,1,5,50,20,1.5
299,1,30,1,5,50,20,2
300,1,30,1,5,50,67.5,1
301,1,30,1,5,50,67.5,1.5
302,1,30,1,5,50,67.5,2
303,1,30,1,5,50,115,1
304,1,30,1,5,50,115,1.5
305,1,30,1,5,50,115,2
306,1,30,1,5,80,20,1
307,1,30,1,5,80,20,1.5
308,1,30,1,5,80,20,2
309,1,30,1,5,80,67.5,1
310,1,30,1,5,80,67.5,1.5
311,1,30,1,5,80,67.5,2
312,1,30,1,5,80,115,1
313,1,30,1,5,80,115,1.5
314,1,30,1,5,80,115,2
315,1,30,1,5,110,20,1
316,1,30,1,5,110,20,1.5
317,1,30,1,5,110,20,2
318,1,30,1,5,110,67.5,1
319,1,30,1,5,110,67.5,1.5
320,1,30,1,5,110,67.5,2
321,1,30,1,5,110,115,1
322,1,30,1,5,110,115,1.5
323,1,30,1,5,110,115,2
324,1,30,1.5,1,50,20,1
325,1,30,1.5,1,50,20,1.5
326,1,30,1.5,1,50,20,2
327,1,30,1.5,1,50,67.5,1
328,1,30,1.5,1,50,67.5,1.5
329,1,30,1.5,1,50,67.5,2
330,1,30,1.5,1,50,115,1
331,1,30,1.5,1,50,115,1.5
332,1,30,1.5,1,50,115,2
333,1,30,1.5,1,80,20,1
334,1,30,1.5,1,80,20,1.5
335,1,30,1.5,1,80,20,2
336,1,30,1.5,1,80,67.5,1
337,1,30,1.5,1,80,67.5,1.5
338,1,30,1.5,1,80,67.5,2
339,1,30,1.5,1,80,115,1
340,1,30,1.5,1,80,115,1.5
341,1,30,1.5,1,80,115,2
342,1,30,1.5,1,110,20,1
343,1,30,1.5,1,110,20,1.5
344,1,30,1.5,1,110,20,2
