Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40,GM41,GM42,GM43,GM44
0.14,0.62489,0.65944,0.56895,0.92047,0.53803,0.75808,0.6541,0.4956,0.83502,1.2167,0.65398,0.75181,0.76427,0.95832,0.59466,0.49168,0.31111,0.45605,0.6741,0.50939,0.40114,0.37488,0.75545,0.55384,1.3128,1.3936,1.4688,1.0301,1.5444,1.1483,0.68672,0.30496,0.85175,0.88829,0.50279,0.63169,0.26304,0.2706,0.64072,0.67938,1.1258,0.98598,1.0686,1.1844
0.15,0.61727,0.70923,0.58244,0.77113,0.54909,0.74174,0.78803,0.54717,0.87017,1.2309,0.83151,0.9007,0.76561,0.95054,0.59036,0.43041,0.32826,0.43756,0.81434,0.59404,0.34518,0.34029,0.69829,0.56407,1.4111,1.0487,1.5035,0.99988,1.6606,1.0752,0.73523,0.36902,0.96019,0.86793,0.51787,0.68321,0.32038,0.27994,0.61584,0.6991,1.2079,1.0931,1.011,1.1075
0.16,0.61691,0.72043,0.56514,0.96822,0.54876,0.69582,0.73178,0.64846,0.71774,1.1605,1.1158,0.97314,0.87639,0.79211,0.51567,0.39502,0.35597,0.41519,0.96158,0.50014,0.39241,0.36514,0.75622,0.59851,1.0468,0.8665,1.5121,0.92657,1.4351,1.1188,0.67791,0.38741,0.85189,0.78844,0.63387,0.7372,0.384,0.26318,0.71953,0.72121,1.1643,1.1281,0.96645,1.3372
0.17,0.61739,0.71516,0.56137,0.98247,0.64123,0.69094,0.73169,0.64382,0.68589,1.0587,1.3584,1.2033,0.93412,0.89022,0.57926,0.37491,0.33072,0.4483,1.0439,0.47669,0.43027,0.43575,0.81001,0.63737,1.1312,0.88974,1.6058,0.93428,1.5348,1.1329,0.69186,0.42623,0.90459,0.83138,0.67548,0.86109,0.39279,0.28907,0.75816,0.73965,1.323,0.93344,0.81713,1.2476
0.18,0.64063,0.76613,0.58649,1.0563,0.72736,0.62708,0.72474,0.65992,0.90143,1.1002,1.4228,1.3407,0.84207,1.1295,0.52624,0.34043,0.42616,0.42822,0.86585,0.44821,0.44607,0.42147,0.98993,0.67778,1.2197,1.0553,1.7367,0.83541,1.3897,1.1258,0.79073,0.47502,0.85828,0.92557,0.61287,0.91188,0.34563,0.28743,0.81557,0.7682,1.6011,0.88477,0.97675,1.0497
0.19,0.66368,0.77064,0.5347,1.1339,0.88177,0.57667,0.67628,0.69081,0.84629,1.0453,1.3611,1.0536,1.2566,1.0591,0.43759,0.34594,0.42896,0.42813,0.9514,0.46505,0.42317,0.44234,1.1093,0.65649,1.3792,0.93719,1.751,0.84895,1.3666,1.093,0.83327,0.42739,0.72595,0.86658,0.53722,0.96644,0.28746,0.28792,0.85988,0.74552,1.4856,0.86241,0.93583,0.94118
0.2,0.65288,0.74349,0.61166,1.221,0.97346,0.57649,0.72254,0.92704,0.6888,0.85048,1.2534,0.98051,1.5441,1.0921,0.4474,0.41854,0.35877,0.44587,0.90187,0.49762,0.40263,0.46619,1.1094,0.68691,1.4657,0.90732,1.7886,1.1739,1.1933,1.0468,0.79883,0.44114,0.74197,1.0657,0.65309,0.8569,0.26592,0.31161,0.93927,0.70618,1.3279,0.89413,0.89351,0.87713
0.21,0.63055,0.72337,0.80228,1.297,1.0469,0.57126,0.79379,1.0851,0.64792,0.73091,1.1686,1.1622,1.6812,1.0881,0.44873,0.45882,0.33768,0.48155,0.66649,0.43797,0.42103,0.50125,1.0105,0.86208,1.3457,0.83677,1.7995,1.3277,1.0172,1.1073,0.77036,0.44584,0.82175,1.086,0.76093,0.84535,0.2563,0.30012,0.87451,0.70222,1.1706,0.92597,1.0287,0.89586
0.22,0.62717,0.71374,0.95727,1.3104,0.99919,0.57511,0.8326,1.0427,0.66157,0.80464,1.3677,1.1347,1.7714,1.1591,0.45195,0.49974,0.35556,0.48888,0.60009,0.48462,0.44224,0.57105,0.86723,1.067,1.4523,0.8937,1.7304,1.2082,1.0214,0.89978,0.82127,0.43221,0.76286,0.94207,0.84582,0.89114,0.26782,0.24255,0.73229,0.72502,1.1845,1.0447,1.0874,1.0044
0.23,0.57956,0.69522,0.91403,1.225,1.0204,0.58845,0.80977,0.93447,0.61382,0.81622,1.8203,1.0758,1.6971,1.1429,0.44205,0.494,0.32087,0.45771,0.56094,0.48974,0.45593,0.56434,1.0006,1.1015,1.5676,0.91484,1.6386,1.0138,0.95185,0.77377,0.70983,0.46693,0.75796,0.88629,0.89437,0.96578,0.2289,0.2227,0.78525,0.77656,1.4702,1.0546,1.0884,1.0742
