a,b,c
7.95,22.230000000000004,3.975
7.95,22.230000000000004,3.975
7.95,22.230000000000004,3.975
7.95,22.230000000000004,3.975
7.85,21.905,3.925
7.85,21.905,3.925
7.85,21.905,3.925
7.85,21.905,3.925
