floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
3492.72,88,70,286,420,1686.3,1300.95
3492.72,88,70,278,420,1688,1300.95
3492.72,88,70,278,420,1688,1300.95
3492.72,88,70,278,420,1688,1300.95
3492.72,88,70,278,420,1688,1300.95
3492.72,88,70,278,420,1688,1300.95
3492.72,88,70,278,420,1688,1300.95
4881.87,123,20,478,120,2341,371.7
