exterior column,interior column,beam
W33X221,W33X221,W33X201
W33X221,W33X221,W33X201
W33X221,W33X221,W33X201
W33X221,W33X221,W33X201
W33X201,W33X201,W33X152
W33X201,W33X201,W33X152
W33X201,W33X201,W33X152
W33X201,W33X201,W33X152
