a,b,c
7.85,21.905,3.925
7.85,21.905,3.925
7.85,21.905,3.925
7.85,21.905,3.925
5.8,21.775000000000002,2.9
5.8,21.775000000000002,2.9
5.8,21.775000000000002,2.9
5.8,21.775000000000002,2.9
