building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,Ss,S1,site class
98,3,40,1.0,3,80,67.5,2.2,0.8,C
99,3,40,1.0,3,80,67.5,2.2,0.8,D
100,3,40,1.0,3,80,67.5,1.5,0.6,C
101,3,40,1.0,3,80,67.5,1.5,0.6,D
102,3,40,1.0,5,80,67.5,2.9,1.0,C
103,3,40,1.0,5,80,67.5,2.9,1.0,D
104,3,40,1.0,5,80,67.5,2.2,0.8,C
105,3,40,1.0,5,80,67.5,2.2,0.8,D
106,3,40,1.0,5,80,67.5,1.5,0.6,C
107,3,40,1.0,5,80,67.5,1.5,0.6,D
108,5,20,1.0,1,80,67.5,2.9,1.0,C
109,5,20,1.0,1,80,67.5,2.9,1.0,D
110,5,20,1.0,1,80,67.5,2.2,0.8,C
111,5,20,1.0,1,80,67.5,2.2,0.8,D
112,5,20,1.0,1,80,67.5,1.5,0.6,C
113,5,20,1.0,1,80,67.5,1.5,0.6,D
114,5,20,1.0,3,80,67.5,2.9,1.0,C
115,5,20,1.0,3,80,67.5,2.9,1.0,D
116,5,20,1.0,3,80,67.5,2.2,0.8,C
117,5,20,1.0,3,80,67.5,2.2,0.8,D
118,5,20,1.0,3,80,67.5,1.5,0.6,C
119,5,20,1.0,3,80,67.5,1.5,0.6,D
120,5,20,1.0,5,80,67.5,2.9,1.0,C
121,5,20,1.0,5,80,67.5,2.9,1.0,D
122,5,20,1.0,5,80,67.5,2.2,0.8,C
123,5,20,1.0,5,80,67.5,2.2,0.8,D
124,5,20,1.0,5,80,67.5,1.5,0.6,C
125,5,20,1.0,5,80,67.5,1.5,0.6,D
126,5,30,1.0,1,80,67.5,2.9,1.0,C
127,5,30,1.0,1,80,67.5,2.9,1.0,D
128,5,30,1.0,1,80,67.5,2.2,0.8,C
129,5,30,1.0,1,80,67.5,2.2,0.8,D
130,5,30,1.0,1,80,67.5,1.5,0.6,C
131,5,30,1.0,1,80,67.5,1.5,0.6,D
132,5,30,1.0,3,80,67.5,2.9,1.0,C
133,5,30,1.0,3,80,67.5,2.9,1.0,D
134,5,30,1.0,3,80,67.5,2.2,0.8,C
135,5,30,1.0,3,80,67.5,2.2,0.8,D
136,5,30,1.0,3,80,67.5,1.5,0.6,C
137,5,30,1.0,3,80,67.5,1.5,0.6,D
138,5,30,1.0,5,80,67.5,2.9,1.0,C
139,5,30,1.0,5,80,67.5,2.9,1.0,D
140,5,30,1.0,5,80,67.5,2.2,0.8,C
141,5,30,1.0,5,80,67.5,2.2,0.8,D
142,5,30,1.0,5,80,67.5,1.5,0.6,C
143,5,30,1.0,5,80,67.5,1.5,0.6,D
144,5,40,1.0,1,80,67.5,2.9,1.0,C
145,5,40,1.0,1,80,67.5,2.9,1.0,D
146,5,40,1.0,1,80,67.5,2.2,0.8,C
147,5,40,1.0,1,80,67.5,2.2,0.8,D
