building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,Ss,S1,site class
76,3,30,1.0,5,80,67.5,1.5,0.6,C
77,3,30,1.0,5,80,67.5,1.5,0.6,D
78,3,40,1.0,3,80,67.5,2.9,1.0,C
79,3,40,1.0,3,80,67.5,2.9,1.0,D
80,3,40,1.0,3,80,67.5,2.2,0.8,C
81,3,40,1.0,3,80,67.5,2.2,0.8,D
82,3,40,1.0,3,80,67.5,1.5,0.6,C
83,3,40,1.0,3,80,67.5,1.5,0.6,D
84,3,40,1.0,5,80,67.5,2.9,1.0,C
85,3,40,1.0,5,80,67.5,2.9,1.0,D
86,3,40,1.0,5,80,67.5,2.2,0.8,C
87,3,40,1.0,5,80,67.5,2.2,0.8,D
88,3,40,1.0,5,80,67.5,1.5,0.6,C
89,3,40,1.0,5,80,67.5,1.5,0.6,D
90,5,20,1.0,3,80,67.5,2.9,1.0,C
91,5,20,1.0,3,80,67.5,2.9,1.0,D
92,5,20,1.0,3,80,67.5,2.2,0.8,C
93,5,20,1.0,3,80,67.5,2.2,0.8,D
94,5,20,1.0,3,80,67.5,1.5,0.6,C
95,5,20,1.0,3,80,67.5,1.5,0.6,D
96,5,20,1.0,5,80,67.5,2.9,1.0,C
97,5,20,1.0,5,80,67.5,2.9,1.0,D
98,5,20,1.0,5,80,67.5,2.2,0.8,C
99,5,20,1.0,5,80,67.5,2.2,0.8,D
100,5,20,1.0,5,80,67.5,1.5,0.6,C
101,5,20,1.0,5,80,67.5,1.5,0.6,D
102,5,30,1.0,3,80,67.5,2.9,1.0,C
103,5,30,1.0,3,80,67.5,2.9,1.0,D
104,5,30,1.0,3,80,67.5,2.2,0.8,C
105,5,30,1.0,3,80,67.5,2.2,0.8,D
106,5,30,1.0,3,80,67.5,1.5,0.6,C
107,5,30,1.0,3,80,67.5,1.5,0.6,D
108,5,30,1.0,5,80,67.5,2.9,1.0,C
109,5,30,1.0,5,80,67.5,2.9,1.0,D
110,5,30,1.0,5,80,67.5,2.2,0.8,C
111,5,30,1.0,5,80,67.5,2.2,0.8,D
112,5,30,1.0,5,80,67.5,1.5,0.6,C
113,5,30,1.0,5,80,67.5,1.5,0.6,D
114,5,40,1.0,3,80,67.5,2.9,1.0,C
115,5,40,1.0,3,80,67.5,2.9,1.0,D
116,5,40,1.0,3,80,67.5,2.2,0.8,C
117,5,40,1.0,3,80,67.5,2.2,0.8,D
118,5,40,1.0,3,80,67.5,1.5,0.6,C
119,5,40,1.0,3,80,67.5,1.5,0.6,D
120,5,40,1.0,5,80,67.5,2.9,1.0,C
121,5,40,1.0,5,80,67.5,2.9,1.0,D
122,5,40,1.0,5,80,67.5,2.2,0.8,C
123,5,40,1.0,5,80,67.5,2.2,0.8,D
124,5,40,1.0,5,80,67.5,1.5,0.6,C
125,5,40,1.0,5,80,67.5,1.5,0.6,D
126,7,20,1.0,3,80,67.5,2.9,1.0,C
127,7,20,1.0,3,80,67.5,2.9,1.0,D
128,7,20,1.0,3,80,67.5,2.2,0.8,C
129,7,20,1.0,3,80,67.5,2.2,0.8,D
130,7,20,1.0,3,80,67.5,1.5,0.6,C
131,7,20,1.0,3,80,67.5,1.5,0.6,D
132,7,20,1.0,5,80,67.5,2.9,1.0,C
133,7,20,1.0,5,80,67.5,2.9,1.0,D
134,7,20,1.0,5,80,67.5,2.2,0.8,C
135,7,20,1.0,5,80,67.5,2.2,0.8,D
136,7,20,1.0,5,80,67.5,1.5,0.6,C
137,7,20,1.0,5,80,67.5,1.5,0.6,D
138,7,30,1.0,3,80,67.5,2.9,1.0,C
139,7,30,1.0,3,80,67.5,2.9,1.0,D
140,7,30,1.0,3,80,67.5,2.2,0.8,C
141,7,30,1.0,3,80,67.5,2.2,0.8,D
142,7,30,1.0,3,80,67.5,1.5,0.6,C
143,7,30,1.0,3,80,67.5,1.5,0.6,D
144,7,30,1.0,5,80,67.5,2.9,1.0,C
145,7,30,1.0,5,80,67.5,2.9,1.0,D
146,7,30,1.0,5,80,67.5,2.2,0.8,C
147,7,30,1.0,5,80,67.5,2.2,0.8,D
148,7,30,1.0,5,80,67.5,1.5,0.6,C
149,7,30,1.0,5,80,67.5,1.5,0.6,D
150,7,40,1.0,3,80,67.5,2.9,1.0,C
151,7,40,1.0,3,80,67.5,2.9,1.0,D
152,7,40,1.0,3,80,67.5,2.2,0.8,C
153,7,40,1.0,3,80,67.5,2.2,0.8,D
154,7,40,1.0,3,80,67.5,1.5,0.6,C
155,7,40,1.0,3,80,67.5,1.5,0.6,D
156,7,40,1.0,5,80,67.5,2.9,1.0,C
157,7,40,1.0,5,80,67.5,2.9,1.0,D
158,7,40,1.0,5,80,67.5,2.2,0.8,C
159,7,40,1.0,5,80,67.5,2.2,0.8,D
160,7,40,1.0,5,80,67.5,1.5,0.6,C
161,7,40,1.0,5,80,67.5,1.5,0.6,D
162,9,20,1.0,3,80,67.5,2.9,1.0,C
163,9,20,1.0,3,80,67.5,2.9,1.0,D
164,9,20,1.0,3,80,67.5,2.2,0.8,C
165,9,20,1.0,3,80,67.5,2.2,0.8,D
166,9,20,1.0,3,80,67.5,1.5,0.6,C
167,9,20,1.0,3,80,67.5,1.5,0.6,D
168,9,20,1.0,5,80,67.5,2.9,1.0,C
169,9,20,1.0,5,80,67.5,2.9,1.0,D
170,9,20,1.0,5,80,67.5,2.2,0.8,C
171,9,20,1.0,5,80,67.5,2.2,0.8,D
172,9,20,1.0,5,80,67.5,1.5,0.6,C
173,9,20,1.0,5,80,67.5,1.5,0.6,D
174,9,30,1.0,3,80,67.5,2.9,1.0,C
175,9,30,1.0,3,80,67.5,2.9,1.0,D
176,9,30,1.0,3,80,67.5,2.2,0.8,C
177,9,30,1.0,3,80,67.5,2.2,0.8,D
178,9,30,1.0,3,80,67.5,1.5,0.6,C
179,9,30,1.0,3,80,67.5,1.5,0.6,D
180,9,30,1.0,5,80,67.5,2.9,1.0,C
181,9,30,1.0,5,80,67.5,2.9,1.0,D
182,9,30,1.0,5,80,67.5,2.2,0.8,C
183,9,30,1.0,5,80,67.5,2.2,0.8,D
184,9,30,1.0,5,80,67.5,1.5,0.6,C
185,9,30,1.0,5,80,67.5,1.5,0.6,D
186,9,40,1.0,3,80,67.5,2.9,1.0,C
187,9,40,1.0,3,80,67.5,2.9,1.0,D
188,9,40,1.0,3,80,67.5,2.2,0.8,C
189,9,40,1.0,3,80,67.5,2.2,0.8,D
190,9,40,1.0,3,80,67.5,1.5,0.6,C
191,9,40,1.0,3,80,67.5,1.5,0.6,D
192,9,40,1.0,5,80,67.5,2.9,1.0,C
193,9,40,1.0,5,80,67.5,2.9,1.0,D
194,9,40,1.0,5,80,67.5,2.2,0.8,C
195,9,40,1.0,5,80,67.5,2.2,0.8,D
196,9,40,1.0,5,80,67.5,1.5,0.6,C
197,9,40,1.0,5,80,67.5,1.5,0.6,D
