,0,1,2,3,4,5,6
0,1,1,1,0.00334052,0.00380661,0.0066108,0.00390246
1,1,1,2,0.00055239,0.00138726,0.00157207,0.00257518
2,1,1,3,0.000872637,0.00154673,0.00145059,0.00193044
3,1,1,4,0.000583928,0.00141151,0.000891357,0.00129642
4,1,2,1,0.00237926,0.00294561,0.00426411,0.0033138
5,1,2,2,0.00046263,0.00107015,0.00181199,0.00133558
6,1,2,3,0.000546266,0.0012171,0.00150943,0.00095619
7,1,2,4,0.000523341,0.00123505,0.00171376,0.000869355
