joint 0,joint 1,joint 2,joint 3,joint 4,joint 5,joint 6,joint 7,joint 8
4.070140874037654,2.293990680906988,2.29572279523184,2.295629071479618,2.2956435520204197,2.295629071479618,2.29572279523184,2.293990680906988,4.070140874037654
2.2091368180440076,1.6673946997292548,1.6682531560128973,1.6681956586980904,1.6682037155405927,1.6681956586980904,1.6682531560128973,1.6673946997292548,2.2091368180440076
1.7252482480428786,1.1656049517394043,1.1664641696415208,1.1663963395524946,1.1664063398023936,1.1663963395524946,1.1664641696415208,1.1656049517394043,1.7252482480428786
NA,NA,NA,NA,NA,NA,NA,NA,NA
