exterior column,interior column,beam
W27X235,W27X235,W24X176
W27X235,W27X235,W24X176
W27X235,W27X235,W24X176
W27X235,W27X235,W24X176
W27X178,W27X178,W24X103
W27X178,W27X178,W24X103
W27X178,W27X178,W24X103
W27X178,W27X178,W24X103
