a,b,c
7.55,20.345000000000002,3.775
7.6,20.540000000000003,3.8
7.6,20.540000000000003,3.8
7.6,20.540000000000003,3.8
7.1,18.655,3.55
7.1,18.655,3.55
7.95,22.230000000000004,3.975
6.45,15.925,3.225
