Period (s),101h1,101h2,102h1,102h2,103h1,103h2,104h1,104h2,105h1,105h2,201h1,201h2,202h1,202h2,203h1,203h2,204h1,204h2,205h1,205h2,301h1,301h2,302h1,302h2,303h1,303h2,304h1,304h2,305h1,305h2,401h1,401h2,402h1,402h2,403h1,403h2,404h1,404h2,405h1,405h2,501h1,501h2,502h1,502h2,503h1,503h2,504h1,504h2,505h1,505h2,601h1,601h2,602h1,602h2,603h1,603h2,604h1,604h2,605h1,605h2,701h1,701h2,702h1,702h2,703h1,703h2,704h1,704h2,705h1,705h2,801h1,801h2,802h1,802h2,803h1,803h2,804h1,804h2,805h1,805h2
0.042,0.1084373,0.08536312,0.06781119,0.03683584,0.07824773,0.0662818,0.04685219,0.06262232,0.04827753,0.07155409,0.1041158,0.09045555,0.2764492,0.2212547,0.1755318,0.14677,0.09212482,0.09491866,0.162304,0.09321052,0.116444,0.1499196,0.05220415,0.03820362,0.02867067,0.02860283,0.04895595,0.05309854,0.1099192,0.1085045,0.5973172,0.5074778,0.2276858,0.1824097,0.05194894,0.05426112,0.02813489,0.02556292,0.03534609,0.03881705,0.00622267,0.00916827,0.00270367,0.00254678,0.00093736,0.00105449,0.00429874,0.00366747,0.03481911,0.04442412,0.384472,0.4105928,0.3309726,0.1951373,0.06103568,0.05665309,0.310779,0.1863846,0.09927694,0.09795133,0.04233815,0.0276859,0.03165428,0.03292951,0.4351301,0.3118145,0.114298,0.15453,0.0837263,0.1133581,0.00533947,0.00274427,0.00772262,0.00517862,0.009576,0.01058713,0.3299075,0.3963276,0.4078063,0.5382233
0.044,0.1115089,0.08448818,0.06744297,0.03680333,0.07902036,0.06730344,0.04709436,0.06315795,0.04765069,0.07301354,0.1050773,0.09112722,0.2776507,0.2214946,0.1772003,0.1474628,0.0944978,0.09185381,0.1637991,0.09442789,0.1157667,0.1489411,0.05236872,0.0383345,0.02886634,0.02919919,0.04895257,0.05301937,0.1092835,0.1098946,0.6108508,0.5170826,0.2253897,0.1824731,0.05071937,0.05891097,0.02787543,0.02573027,0.03562111,0.03921148,0.00625785,0.00917235,0.00271116,0.00254461,0.00093743,0.00105457,0.00430048,0.00366865,0.03481981,0.04450833,0.4032614,0.4069245,0.3265447,0.1840588,0.06124105,0.05905993,0.317979,0.186833,0.097548,0.09110332,0.04294043,0.02787602,0.03188729,0.03313553,0.4448833,0.3318256,0.1180298,0.1533412,0.08505234,0.1150464,0.00537358,0.00274861,0.00778227,0.0051946,0.00957749,0.01059373,0.3289233,0.3926609,0.4192244,0.5160091
0.045,0.1114339,0.08313754,0.0672432,0.03693788,0.07897173,0.0677968,0.04748379,0.06265739,0.0477039,0.07379109,0.105728,0.09128337,0.2780767,0.2214268,0.1766323,0.1470874,0.09703457,0.09182876,0.164707,0.09474653,0.1165386,0.1480417,0.05248593,0.03831841,0.02911368,0.0297155,0.04889007,0.05314474,0.1085454,0.1100959,0.6121303,0.5201863,0.2272389,0.1808997,0.0537199,0.05794081,0.02776424,0.02582731,0.03567197,0.03927484,0.00626284,0.00916808,0.00271639,0.00254004,0.00093743,0.00105463,0.00430117,0.00366928,0.03481325,0.04456783,0.3947694,0.4114644,0.3345116,0.1956294,0.0609312,0.05975232,0.3227382,0.1903031,0.09894368,0.09301572,0.04292057,0.02804551,0.03208889,0.0331594,0.4437377,0.3384904,0.1204441,0.1523822,0.08524655,0.1173467,0.0053803,0.00275014,0.00779827,0.00521103,0.00958018,0.01059834,0.3350532,0.3927746,0.4143029,0.5317243
0.046,0.111283,0.08214048,0.06720831,0.03720208,0.07884416,0.06788518,0.04807667,0.06244603,0.04791581,0.07411171,0.1061056,0.0915724,0.2785353,0.2216366,0.1792325,0.1455846,0.0991316,0.09211461,0.1651547,0.09500755,0.1176055,0.1470907,0.0525323,0.03829722,0.02934824,0.03005097,0.04886187,0.05341455,0.1083183,0.1105223,0.6056591,0.5170907,0.22925,0.1803042,0.05785923,0.0566324,0.02766532,0.02598361,0.03572549,0.03932733,0.00626234,0.00915476,0.00272113,0.00253556,0.00093736,0.00105471,0.00430209,0.00366997,0.03480941,0.0446019,0.3787041,0.4231777,0.3344809,0.215668,0.06090932,0.06034308,0.3284104,0.1944446,0.1024803,0.09662148,0.04273252,0.0281457,0.03236613,0.0332135,0.4385212,0.3419517,0.1207175,0.150878,0.08505376,0.1198914,0.00538555,0.00275283,0.00782693,0.00521236,0.00958256,0.01060158,0.3507664,0.3921022,0.4113103,0.5616878
0.048,0.1082329,0.08287492,0.06713425,0.03776127,0.07731826,0.06842122,0.04959679,0.06275423,0.04798738,0.07413305,0.106254,0.09292902,0.27867,0.2216887,0.1832526,0.146055,0.1047418,0.08958822,0.1639359,0.09454729,0.1176041,0.1495036,0.05272349,0.03845712,0.02961795,0.03061934,0.04896999,0.05364659,0.1109302,0.112974,0.5751712,0.5098926,0.2331947,0.1848396,0.06175344,0.06074413,0.02762601,0.02640295,0.03611083,0.03949385,0.00628699,0.00915437,0.00272682,0.00252843,0.00093733,0.00105492,0.00430516,0.00367175,0.03480159,0.04456212,0.3837454,0.4771906,0.3290681,0.225375,0.06228854,0.06021428,0.3306923,0.1939267,0.1030112,0.1049914,0.04283212,0.02814778,0.03263891,0.03349571,0.4585612,0.3271357,0.1197075,0.1467196,0.08297854,0.1228264,0.00535856,0.00276085,0.00791255,0.00523775,0.0095884,0.01060829,0.3730387,0.4035317,0.415574,0.5933109
0.05,0.1064996,0.08445718,0.06834106,0.03842216,0.07490186,0.06952958,0.04994723,0.06543839,0.04921236,0.07501332,0.1062293,0.09435,0.2781885,0.2211366,0.1796912,0.1530128,0.1043197,0.0933939,0.161759,0.09255665,0.1184518,0.1492343,0.05273623,0.03856385,0.02988959,0.03080438,0.04925065,0.05314935,0.1120765,0.1127166,0.5594022,0.5104198,0.237009,0.1854214,0.06101277,0.06183136,0.0281156,0.02621107,0.03646149,0.03977589,0.00630334,0.0091687,0.00272476,0.00252901,0.00093742,0.00105513,0.00430785,0.0036722,0.03480729,0.04442497,0.4042546,0.5202261,0.3520043,0.2470649,0.06536628,0.06094989,0.3311856,0.1913743,0.0990715,0.1118842,0.04368941,0.02878102,0.03306332,0.03344671,0.468681,0.3159268,0.1180194,0.142112,0.08092657,0.1238362,0.00528608,0.00277423,0.00795098,0.00529576,0.0095914,0.01061166,0.377641,0.4136864,0.4209339,0.6201963
0.055,0.1087081,0.08677384,0.0719341,0.04002467,0.07421294,0.06824932,0.04725139,0.07021739,0.05079092,0.07535873,0.1053304,0.09724087,0.2762444,0.2204956,0.1935517,0.1527741,0.1031179,0.09920201,0.1637124,0.09352163,0.1197338,0.144596,0.05347625,0.03789497,0.03164775,0.02993714,0.05004202,0.05374674,0.1240628,0.1172536,0.5568839,0.5696259,0.2340458,0.1813543,0.06643215,0.06893525,0.02744867,0.02557644,0.03510337,0.04230976,0.0063586,0.00916828,0.00275056,0.00251517,0.00093789,0.00105551,0.00430882,0.00367463,0.03484963,0.04481019,0.3671484,0.5929123,0.3985579,0.2486293,0.06683744,0.06357871,0.3246723,0.1952316,0.114982,0.1077438,0.04411569,0.03073066,0.03488534,0.03396554,0.4810619,0.3205871,0.1202041,0.1543919,0.08042902,0.1228274,0.00532435,0.00295533,0.00803165,0.00524766,0.00960124,0.01063261,0.4130649,0.3905316,0.5016336,0.7839206
0.06,0.1137282,0.09593652,0.07185688,0.04175124,0.07638276,0.07201513,0.0466666,0.07375855,0.0537774,0.08108344,0.1031896,0.09619382,0.2754915,0.2219953,0.1954276,0.1735856,0.1182639,0.0978769,0.1692561,0.09334968,0.1366911,0.1481058,0.05311261,0.03829564,0.03138272,0.02986766,0.05064929,0.05372323,0.1284403,0.1213082,0.6488832,0.5548912,0.2246343,0.2038438,0.07652111,0.09733787,0.02788783,0.02632061,0.03501056,0.03960174,0.00639844,0.00921944,0.00273957,0.00252353,0.00093834,0.00105634,0.00431499,0.00367353,0.03491048,0.04469231,0.4430084,0.6944141,0.3897921,0.235267,0.07632291,0.07076029,0.3631198,0.2283183,0.113369,0.1194767,0.04167582,0.03134166,0.03580464,0.03454166,0.4665546,0.3608528,0.1122867,0.1629363,0.08627767,0.1306736,0.00544169,0.00305022,0.00807248,0.0052374,0.00960474,0.01064709,0.4076318,0.4406565,0.6220267,0.9203522
0.065,0.1224685,0.1003857,0.07730966,0.04316317,0.07771887,0.07847666,0.04952969,0.0864773,0.05756235,0.08894331,0.1079795,0.0902117,0.2766962,0.2214632,0.2139399,0.1580118,0.1248815,0.0976087,0.1696452,0.09940059,0.1316404,0.1688025,0.05176204,0.03834476,0.03057127,0.03144404,0.05065801,0.05364078,0.1503783,0.1241572,0.7470274,0.573109,0.2267369,0.1947366,0.08988766,0.1036147,0.02788662,0.02588577,0.0350389,0.04166477,0.00639664,0.00922776,0.00271122,0.00255543,0.00093882,0.00105688,0.00432653,0.00367643,0.03493113,0.04449261,0.4538301,0.5640964,0.4379786,0.2667021,0.08372661,0.07352509,0.3492605,0.2864953,0.1469537,0.1421529,0.04175116,0.03098487,0.03800812,0.0342421,0.4473214,0.3776334,0.1141874,0.1725211,0.09027661,0.1384029,0.00546356,0.00303529,0.00853375,0.00538009,0.00962082,0.01066854,0.4539686,0.4799204,0.7444361,1.002373
0.067,0.1279399,0.1020106,0.07871228,0.04209248,0.07531729,0.07967637,0.05023031,0.08979401,0.05785668,0.08944245,0.10676,0.09061541,0.2765173,0.2211949,0.2304374,0.1553739,0.1431174,0.1058981,0.164563,0.09928289,0.1343697,0.1734932,0.05198658,0.03855196,0.03103325,0.03105798,0.05065429,0.05332596,0.1591908,0.1255458,0.7302298,0.5847456,0.2299271,0.2003554,0.09198199,0.1001114,0.02717468,0.02569131,0.03540701,0.03886325,0.0064269,0.009242,0.00270268,0.00255415,0.00093883,0.00105714,0.00432864,0.00368089,0.03493391,0.04471833,0.4406873,0.5659527,0.4546833,0.2754653,0.08153846,0.07729424,0.3663511,0.2871596,0.1486897,0.1460274,0.04192001,0.03057999,0.03837153,0.03413622,0.4784314,0.3874811,0.1147935,0.1846944,0.0947177,0.1418935,0.00545196,0.0031034,0.00857076,0.00554021,0.00963074,0.01066519,0.4628333,0.5173399,0.7916089,1.004652
