Period (s),101h1,101h2,102h1,102h2,103h1,103h2,104h1,104h2,105h1,105h2,201h1,201h2,202h1,202h2,203h1,203h2,204h1,204h2,205h1,205h2,301h1,301h2,302h1,302h2,303h1,303h2,304h1,304h2,305h1,305h2,401h1,401h2,402h1,402h2,403h1,403h2,404h1,404h2,405h1,405h2,501h1,501h2,502h1,502h2,503h1,503h2,504h1,504h2,505h1,505h2,601h1,601h2,602h1,602h2,603h1,603h2,604h1,604h2,605h1,605h2,701h1,701h2,702h1,702h2,703h1,703h2,704h1,704h2,705h1,705h2,801h1,801h2,802h1,802h2,803h1,803h2,804h1,804h2,805h1,805h2
0.07,0.1324923,0.1034246,0.08166473,0.0402473,0.07863762,0.07973874,0.04900885,0.1064498,0.05737257,0.09038392,0.1068885,0.0933904,0.2754117,0.2204715,0.2435791,0.1814811,0.1557588,0.1107099,0.1696612,0.1008054,0.1368934,0.1734958,0.05263871,0.03831555,0.03077485,0.03096437,0.05145941,0.05292489,0.1704174,0.1231557,0.7111002,0.6425108,0.2458644,0.2068935,0.09760036,0.1041338,0.02812077,0.02606769,0.03627964,0.04295835,0.00646366,0.0092076,0.00271023,0.00254456,0.00093927,0.00105757,0.00433044,0.00368239,0.03494744,0.04494237,0.4534811,0.6056811,0.4951944,0.3104986,0.07603636,0.0792024,0.3757111,0.2963255,0.1441862,0.127659,0.04205141,0.03049611,0.03802797,0.03431272,0.5112768,0.3786491,0.1217364,0.1946176,0.09935673,0.1420607,0.0055376,0.00318933,0.00847326,0.00568488,0.00964482,0.0106529,0.4531682,0.5641966,0.8133313,0.9836052
0.075,0.1401273,0.1038263,0.08235382,0.04569352,0.08553185,0.08176836,0.05214589,0.148993,0.05489044,0.09016381,0.1061058,0.09813181,0.2742304,0.2211276,0.2277106,0.2087821,0.15597,0.1103315,0.1884797,0.1081741,0.1544219,0.186456,0.05396299,0.03896589,0.03014435,0.03051385,0.05229857,0.05474334,0.1549677,0.1196836,0.7553774,0.7671862,0.2654242,0.2116298,0.1076878,0.1065185,0.03038152,0.02648933,0.04003269,0.04903183,0.00658173,0.00940771,0.00273857,0.00257355,0.00093985,0.00105796,0.00432759,0.00368145,0.0350524,0.04508313,0.50638,0.6633461,0.6313145,0.351916,0.08860821,0.08995798,0.3849799,0.3248938,0.1189741,0.1386817,0.04559809,0.03289674,0.03854044,0.03484401,0.4741327,0.4029107,0.1423555,0.2026387,0.1076279,0.1506409,0.00562601,0.00321959,0.00833993,0.00568551,0.00966026,0.01066733,0.4899607,0.64529,0.8413844,1.032321
0.08,0.1529736,0.09543514,0.08182199,0.04972373,0.09105268,0.07608275,0.05336564,0.1494114,0.0558881,0.09543896,0.1078044,0.1029512,0.2746336,0.22045,0.2448403,0.2022118,0.1487935,0.1176119,0.1898632,0.1225539,0.1853962,0.1850076,0.05169535,0.03921746,0.03222892,0.0296897,0.05166683,0.06210291,0.174559,0.1296286,0.7730426,0.7618628,0.2627557,0.2311786,0.09613122,0.1372267,0.03162918,0.02730048,0.04135613,0.05618692,0.00660904,0.00943211,0.00274072,0.00259286,0.00093999,0.00105978,0.00433685,0.00368586,0.03506586,0.0448887,0.5217744,0.6892127,0.76157,0.4309898,0.09993079,0.09363202,0.4125284,0.3237166,0.1274526,0.148731,0.04722166,0.03374634,0.04199672,0.03670717,0.5615187,0.4401899,0.175403,0.2074349,0.1184187,0.1600749,0.00565791,0.00347982,0.00876389,0.00611813,0.00964224,0.01075136,0.4842774,0.6884639,0.8268142,1.012412
0.085,0.1519808,0.1018541,0.08303318,0.0536471,0.08961914,0.07355081,0.05284782,0.1378214,0.05617403,0.1017874,0.1158467,0.1050666,0.2795718,0.221789,0.2214622,0.1702514,0.1483534,0.1186844,0.2183104,0.123982,0.1776084,0.190449,0.0545524,0.03913814,0.03377457,0.03249644,0.05440435,0.06625972,0.1694279,0.150886,0.8161153,0.863273,0.2552713,0.2508592,0.1148527,0.1928324,0.03238074,0.02815634,0.04331743,0.05751467,0.00665955,0.00943624,0.00271951,0.0025801,0.00094199,0.00106077,0.00434926,0.00369049,0.03504384,0.04462531,0.5361053,0.7126728,0.7762232,0.5663632,0.09757485,0.09101972,0.4757257,0.2817017,0.1444278,0.1541448,0.05054167,0.03391621,0.04451058,0.03974589,0.6089498,0.4395167,0.1709406,0.2250858,0.1374141,0.1644302,0.00560853,0.00392341,0.00881928,0.0064682,0.00955658,0.01081865,0.48382,0.825396,0.8041669,1.034013
0.09,0.1486265,0.1236664,0.08878066,0.05297457,0.08886693,0.07593217,0.05541623,0.1181682,0.06609917,0.1123388,0.1203615,0.1072126,0.2851825,0.2235052,0.2529375,0.181648,0.1758495,0.1152398,0.2229488,0.1139362,0.1946307,0.2202001,0.05543938,0.03810906,0.0321847,0.0330627,0.05826509,0.07124415,0.1945571,0.170936,0.8289136,0.8536348,0.297415,0.2819807,0.1196354,0.1844517,0.03060527,0.02871711,0.0455548,0.06064484,0.00674146,0.00942074,0.00270989,0.00256724,0.00094499,0.00105338,0.00434798,0.00369648,0.03516351,0.04492112,0.5394594,0.6799694,0.893303,0.6227913,0.1293556,0.09957343,0.5483214,0.2771518,0.1751682,0.1611624,0.05373175,0.03394365,0.04612821,0.04087459,0.6417237,0.4235398,0.1776257,0.2578909,0.1472877,0.1615252,0.00618577,0.00437156,0.0084331,0.00608484,0.00964845,0.0108921,0.4761986,0.9773318,0.8344368,1.009135
0.095,0.1683116,0.1281181,0.09254247,0.06264052,0.08899017,0.07837064,0.05641773,0.09891157,0.09052201,0.1124785,0.1302103,0.1061014,0.288929,0.226189,0.2968793,0.2184217,0.1916883,0.1182086,0.1862224,0.1253027,0.2241642,0.2669294,0.05694328,0.03968431,0.03100192,0.0341363,0.06007333,0.07030654,0.2115007,0.1899807,0.9270534,0.8783556,0.2888079,0.2751831,0.1120365,0.1771282,0.03169964,0.02974765,0.05144916,0.05725011,0.00669323,0.00944634,0.00270197,0.0025601,0.00094287,0.00106021,0.00435008,0.00369497,0.0351795,0.04519907,0.5348556,0.7338424,0.7660738,0.5883369,0.1405149,0.1234944,0.5855778,0.322824,0.1647746,0.1902128,0.05265182,0.0378544,0.04749729,0.04183949,0.6932493,0.4470681,0.22018,0.2921055,0.1504032,0.1676079,0.00673769,0.00417767,0.00845658,0.00657117,0.00971782,0.01110865,0.507183,1.025104,0.9341476,1.11487
0.1,0.1892894,0.1423878,0.1020454,0.06789331,0.08630075,0.07918859,0.05962479,0.09002194,0.1023785,0.1265459,0.1316454,0.1029099,0.2875199,0.2298586,0.3194263,0.2278293,0.1732806,0.1225875,0.2023591,0.1305994,0.2602274,0.2899971,0.05529368,0.04190584,0.03004924,0.03367836,0.06005303,0.06885773,0.216845,0.1820007,1.025269,0.855426,0.2648791,0.2726708,0.1144749,0.1499134,0.03323231,0.0311462,0.05323191,0.06158027,0.00694881,0.00946771,0.00269732,0.00257772,0.00094641,0.00106268,0.00435316,0.00370691,0.03530594,0.04549548,0.6625775,0.7482978,0.6172324,0.4397265,0.119571,0.1377611,0.6030437,0.3707188,0.155522,0.2066286,0.05170924,0.04233987,0.05214864,0.03946934,0.5889736,0.4245089,0.2307785,0.3307281,0.1359481,0.1551599,0.00701021,0.0044409,0.00786749,0.00746692,0.00973184,0.01106289,0.5134468,1.249691,1.012775,1.276011
0.11,0.1702205,0.1492848,0.1137213,0.06751789,0.09305656,0.09085277,0.0596696,0.1150912,0.109439,0.1333705,0.1106368,0.1069614,0.2921225,0.237512,0.3229955,0.2710497,0.2202444,0.1573896,0.2307093,0.1514509,0.2657033,0.31464,0.06270639,0.04484313,0.03298006,0.03305297,0.05494826,0.06523725,0.2148731,0.1578396,1.059151,0.9343901,0.3162486,0.3107216,0.09368993,0.1561728,0.03210222,0.038022,0.06186031,0.05654465,0.00806244,0.00992608,0.00270447,0.00258459,0.00094684,0.00106082,0.0044032,0.00372938,0.03548674,0.04533165,0.7166086,0.9106824,0.5525354,0.4434079,0.1154471,0.1361174,0.7718655,0.3270456,0.1725544,0.2350516,0.05654686,0.04614909,0.05246255,0.03437888,0.7104004,0.5344217,0.2471972,0.3599465,0.11483,0.1337348,0.00741403,0.00375249,0.00794276,0.00832353,0.00968734,0.01112157,0.5776421,1.387544,0.835665,1.316782
0.12,0.1652842,0.1600585,0.1178647,0.08409774,0.09160597,0.09577604,0.07154676,0.1134351,0.09971561,0.1692282,0.1074809,0.1087585,0.3069381,0.2414867,0.3590077,0.338995,0.2693571,0.1983962,0.207315,0.1314252,0.290195,0.380704,0.0681446,0.04750948,0.03520103,0.03557689,0.05981369,0.06787561,0.248695,0.1576948,1.121365,1.16961,0.3414048,0.3654107,0.1029249,0.1516508,0.03595603,0.04158982,0.06266278,0.06038107,0.00899519,0.01043044,0.00270398,0.00256457,0.0009372,0.00106543,0.00443513,0.00372804,0.03518417,0.04526711,0.6495404,0.9362495,0.6760477,0.3427995,0.1185824,0.1118883,0.6828724,0.5015151,0.2010171,0.2280493,0.07642373,0.04221105,0.05098592,0.04653287,0.690676,0.5255228,0.258962,0.3291808,0.1311739,0.1317161,0.00772816,0.00462301,0.01046729,0.00742426,0.00998974,0.01127198,0.5471622,1.75288,0.8033831,1.256043
0.13,0.2370755,0.1901931,0.1298336,0.08125803,0.1013599,0.08920533,0.0686842,0.1206343,0.1037288,0.1572593,0.1131316,0.1079753,0.3156668,0.2499399,0.4450212,0.3523448,0.2701292,0.2314414,0.1729259,0.1396603,0.2856247,0.4635957,0.07850135,0.05235283,0.0364085,0.0397255,0.06780194,0.08788808,0.2069921,0.1485251,1.399382,0.9515415,0.4207346,0.4359043,0.115521,0.1343423,0.03722058,0.03804278,0.07300542,0.07263411,0.01044913,0.01220124,0.00271146,0.00257826,0.00094053,0.00106364,0.00440046,0.00373284,0.0356226,0.04623394,0.5957922,1.041623,0.6403722,0.3567423,0.1306264,0.1163438,0.7000109,0.6328232,0.1927115,0.1650481,0.0909672,0.04842923,0.0580742,0.05837906,0.6063551,0.4403443,0.3105731,0.2641574,0.1619245,0.1674498,0.00727976,0.00415596,0.01181111,0.00738656,0.01011518,0.01141626,0.6075853,1.402645,0.7200195,1.240034
0.133,0.261371,0.2102193,0.1333436,0.08215516,0.105866,0.09342317,0.06389497,0.1244596,0.103308,0.1683908,0.1206841,0.1082672,0.3239193,0.2421797,0.4271476,0.3469959,0.2750852,0.245528,0.1713212,0.1399692,0.2765656,0.4909688,0.08009335,0.0531446,0.03562229,0.04057816,0.07034957,0.09231568,0.201024,0.1500817,1.560665,1.045883,0.4292106,0.4145963,0.1182664,0.1293605,0.03777053,0.03885114,0.07965776,0.0766283,0.01087784,0.01278268,0.00271226,0.00258405,0.00094203,0.00106172,0.00441698,0.00372006,0.03586819,0.04690315,0.6214242,1.051226,0.5695083,0.381243,0.1457511,0.1215324,0.6689287,0.6319869,0.1968775,0.1596729,0.09609094,0.0491773,0.05890904,0.05564523,0.602769,0.42895,0.3311736,0.280096,0.1721683,0.1853707,0.00680437,0.00420097,0.01165799,0.00726995,0.01012617,0.01141221,0.6273696,1.247437,0.7037077,1.243953
0.14,0.2749307,0.2271946,0.1639666,0.09415922,0.1140743,0.09996463,0.06900151,0.1407449,0.1039763,0.1860487,0.1350539,0.128803,0.3410738,0.2340919,0.3697619,0.3567906,0.2692476,0.2424286,0.1760856,0.1514515,0.2991918,0.4866225,0.08887166,0.05658785,0.0356888,0.04311841,0.0674409,0.08761363,0.1956493,0.1802373,1.620755,1.352544,0.4356586,0.3650563,0.1153047,0.1195275,0.03774593,0.03981763,0.08209451,0.07637164,0.01114595,0.01342017,0.002714,0.00259303,0.00094045,0.00105879,0.00445587,0.00372053,0.036019,0.05005989,0.733543,1.249075,0.4723827,0.3820306,0.1701959,0.1332209,0.6830113,0.5202445,0.1964872,0.1810964,0.0883448,0.04724516,0.06479109,0.05106496,0.6310233,0.5049833,0.3587894,0.3173066,0.1927603,0.2190522,0.0066378,0.00490405,0.01175056,0.00693086,0.01004229,0.0115034,0.6541006,0.876009,0.6944557,1.236458
0.15,0.2732846,0.2678483,0.204723,0.08910985,0.1393045,0.1011454,0.07895771,0.1684063,0.1292198,0.1540424,0.1462764,0.1325813,0.326544,0.2384984,0.3349603,0.4076166,0.2351857,0.2094155,0.2194192,0.1483329,0.3002637,0.4729801,0.08978308,0.07168615,0.04085589,0.03689356,0.0665895,0.08776291,0.2219257,0.2241879,1.391271,1.552192,0.4533203,0.3371796,0.1198695,0.1098729,0.03931383,0.04884137,0.08679859,0.08412498,0.01334717,0.01453259,0.00271934,0.00258406,0.00094203,0.00106416,0.00449897,0.00371958,0.03649008,0.05150707,0.7990116,1.324414,0.5451896,0.4105104,0.1587083,0.1482628,0.7989293,0.5322081,0.2295706,0.21205,0.07810688,0.05583805,0.08059622,0.06385773,0.7140501,0.5800963,0.3361074,0.3526933,0.2173332,0.2485108,0.00794219,0.00455339,0.01225657,0.00652699,0.00990263,0.01154589,0.6387919,0.7812803,0.702879,1.159349
0.16,0.3100211,0.3117576,0.2524302,0.09287185,0.1788519,0.1157884,0.07442141,0.1485159,0.1325207,0.1385706,0.1437901,0.1182498,0.2990111,0.2295325,0.3905171,0.473012,0.2294386,0.2195582,0.2605841,0.1592915,0.3012869,0.4607877,0.1008221,0.07946207,0.04831244,0.04199111,0.07512855,0.07931147,0.2542134,0.2239255,1.322652,1.628124,0.4288063,0.3136216,0.08872671,0.1190728,0.05123407,0.06055538,0.09958811,0.09578799,0.01328542,0.01468695,0.00272448,0.00255108,0.00093892,0.00106882,0.00452759,0.00369949,0.03697019,0.05189909,0.7911387,1.056939,0.4655143,0.4673507,0.1605064,0.1278754,0.9155584,0.7449651,0.2265161,0.2270075,0.07497485,0.05359849,0.08360274,0.06404035,0.8524752,0.4508106,0.347254,0.3834006,0.2312159,0.2662367,0.00867189,0.00408936,0.0122413,0.00735024,0.01045675,0.01200373,0.5946162,0.925359,0.6877133,1.055671
0.17,0.3592453,0.3255667,0.2439357,0.08857115,0.2123907,0.163031,0.07090446,0.1334392,0.1517623,0.1049674,0.1359456,0.1141299,0.2831823,0.241546,0.4302978,0.3614183,0.2592084,0.2107932,0.2510265,0.1484795,0.2491486,0.4472096,0.09616322,0.06799341,0.05566108,0.04435538,0.07346515,0.07589256,0.2577311,0.2359139,1.299583,1.487738,0.4491349,0.3247449,0.08137806,0.108512,0.04759422,0.06898044,0.09210539,0.09737669,0.01292794,0.01484632,0.00273754,0.00254189,0.00093856,0.00107114,0.00447518,0.00367211,0.04107381,0.0529047,0.7262284,0.7963236,0.3992876,0.4326347,0.1724556,0.1502302,0.8844013,0.6659107,0.2485034,0.2570654,0.07002928,0.04625528,0.09486469,0.06772617,0.9531255,0.4462191,0.3645944,0.477264,0.2574155,0.2940756,0.00899462,0.00403092,0.01007658,0.01000697,0.01077806,0.01257269,0.5944919,0.9294751,0.6535441,0.9821824
0.18,0.2707969,0.2419168,0.2012384,0.09997715,0.2148986,0.1882824,0.06634779,0.126803,0.1506412,0.1206173,0.1495859,0.1439139,0.2902033,0.2551296,0.3880179,0.2842755,0.2324519,0.2128886,0.2804519,0.1498678,0.2442975,0.4463431,0.09038781,0.07388426,0.05215148,0.04535071,0.06526633,0.09688496,0.2410814,0.1907075,1.19429,1.340579,0.4019448,0.4044416,0.07182583,0.09336878,0.05162481,0.07160369,0.07572475,0.1022044,0.01640469,0.01424194,0.00275494,0.00252543,0.0009446,0.00107091,0.00441451,0.00372604,0.04906091,0.05219918,0.7060515,0.6309818,0.4493343,0.4104698,0.1550422,0.1400371,0.7521798,0.5566592,0.272729,0.3082241,0.06849355,0.04661017,0.08083629,0.06883223,0.8695441,0.4656475,0.3967695,0.5123373,0.2255744,0.2978066,0.00946326,0.00419823,0.0122939,0.01083204,0.01093689,0.01263969,0.6526901,0.8227752,0.7265239,0.9283229
0.19,0.2765313,0.1962849,0.1944016,0.1012235,0.2042543,0.1813323,0.07798521,0.1024266,0.1319799,0.1070401,0.1682909,0.1507631,0.2869972,0.2513788,0.4134698,0.30798,0.2170867,0.1879585,0.3423773,0.1506534,0.2670064,0.3740332,0.0820425,0.06861322,0.04693292,0.05072985,0.07711555,0.1149929,0.2483895,0.2417884,1.083286,1.247257,0.369067,0.4350896,0.0791899,0.07341396,0.05223,0.06351052,0.07314449,0.0945364,0.01551625,0.01671107,0.00275811,0.00254584,0.00094594,0.00107291,0.00462678,0.00391762,0.04833219,0.05017447,0.744559,0.5580427,0.5429969,0.3908043,0.1500359,0.1455056,0.788461,0.5432845,0.3087625,0.3422608,0.06989583,0.05088723,0.08171006,0.06510635,0.6392516,0.5289048,0.4947406,0.4877062,0.2226236,0.2864018,0.01053097,0.00463508,0.01373046,0.0102709,0.010544,0.01174278,0.6879681,0.8978009,0.8065798,0.8799976
0.2,0.2813449,0.1794959,0.2368047,0.1366812,0.1775845,0.1552939,0.07107285,0.1166823,0.1303168,0.1107054,0.1814552,0.1384425,0.2832409,0.2332053,0.410133,0.3521441,0.2250452,0.1667688,0.4152688,0.1794526,0.3074618,0.3770284,0.08259614,0.06884361,0.04491004,0.05266134,0.09017894,0.1121738,0.2793039,0.2386834,1.155528,1.021706,0.3533113,0.4887708,0.09135156,0.07798938,0.0509784,0.04736974,0.07388447,0.07432146,0.01836928,0.01823419,0.00276672,0.00253801,0.00094652,0.00107748,0.00472884,0.00406619,0.04006846,0.04763381,0.8782368,0.577661,0.6349167,0.3640674,0.1608664,0.139823,0.774428,0.4630805,0.286195,0.3410521,0.08275181,0.05423059,0.101468,0.07339837,0.4994781,0.5368068,0.4689142,0.4402874,0.2384797,0.2556385,0.01249276,0.00462875,0.01462556,0.01032433,0.01111241,0.01333624,0.6512262,0.9304031,0.8250954,0.8047607
0.22,0.335468,0.2212476,0.2569019,0.1249221,0.2299674,0.1517736,0.06969796,0.1552911,0.1571036,0.1104837,0.2363953,0.1734146,0.2954267,0.2366502,0.468334,0.3443715,0.2375207,0.1913573,0.4279851,0.1567891,0.3770356,0.4512482,0.07868519,0.07888143,0.04114224,0.04870263,0.1138672,0.09718102,0.4003577,0.2207096,1.102332,1.019446,0.3243014,0.4247846,0.1067583,0.080061,0.05457231,0.04635898,0.07959122,0.07957644,0.01465543,0.02026455,0.00281048,0.00252517,0.00095833,0.0010956,0.00470835,0.00389168,0.04597794,0.0595186,1.169368,0.7978753,0.5724698,0.4887877,0.1581897,0.1648251,0.8622861,0.409454,0.3205772,0.2505419,0.1303469,0.06985159,0.1221127,0.07281358,0.580039,0.5500578,0.4192288,0.3680226,0.2358555,0.2516303,0.01237486,0.00499745,0.01252121,0.01036628,0.01119607,0.01712887,0.5910385,0.865679,0.6810853,0.6946167
0.24,0.328059,0.2863633,0.2233255,0.09676097,0.2279082,0.1844074,0.0940296,0.1629592,0.169591,0.08759427,0.2795099,0.1728321,0.3273024,0.2473594,0.6240514,0.3164881,0.1971447,0.2246603,0.3305676,0.1887046,0.4043396,0.46557,0.08442163,0.09994603,0.04163949,0.04673827,0.1101722,0.1217264,0.3869311,0.2563353,1.555138,1.037697,0.3829143,0.4047523,0.1338399,0.07647955,0.06303612,0.05588511,0.1127053,0.1141093,0.01519116,0.01773991,0.00279839,0.00269511,0.00095263,0.00109577,0.00466523,0.0042685,0.04614091,0.06243943,1.393164,0.8393806,0.5234147,0.3383449,0.1711636,0.1586079,1.110271,0.3543929,0.2032937,0.210627,0.1434832,0.08275302,0.09530243,0.0829949,0.615661,0.4570788,0.2721763,0.4303147,0.2519721,0.2525737,0.01312481,0.00597668,0.01456976,0.01125055,0.01077569,0.01660433,0.5438797,0.7738811,0.5645292,0.7250737
0.25,0.2874931,0.26975,0.2159795,0.09531084,0.176991,0.1782947,0.1031861,0.13164,0.1665385,0.07872432,0.2503923,0.1858299,0.3201453,0.2529222,0.6985826,0.325758,0.1778443,0.2630163,0.3488826,0.1913413,0.4196434,0.4117983,0.09813499,0.09840386,0.04701704,0.04570501,0.1111072,0.1297587,0.3680546,0.2661479,1.715133,0.997825,0.3674905,0.4333894,0.1237837,0.08798957,0.06770987,0.05528026,0.1109294,0.1234414,0.01502079,0.02049204,0.00279341,0.0027936,0.00095284,0.00109663,0.00506716,0.00428438,0.04622651,0.06746696,1.246148,0.7254862,0.5779408,0.3154447,0.1879871,0.1684997,1.345952,0.3650845,0.1899096,0.1778834,0.1350737,0.08959518,0.09238153,0.0736458,0.5601125,0.5502498,0.2328402,0.4645171,0.2735479,0.2555327,0.01315015,0.00756922,0.01405611,0.01094706,0.011938,0.0168863,0.5102105,0.7044976,0.5389357,0.5986939
0.26,0.2227546,0.2350496,0.207036,0.0967325,0.1898126,0.1735468,0.103039,0.1448817,0.1456181,0.07365386,0.220612,0.2260688,0.3168971,0.2567427,0.7310277,0.3384378,0.2116663,0.2813627,0.3354843,0.2012857,0.3636956,0.3728698,0.1228974,0.08535914,0.05430439,0.04577047,0.121982,0.1206329,0.4081998,0.2770745,1.811273,1.013331,0.3911365,0.5222245,0.09654509,0.09079296,0.07923622,0.05225152,0.1034427,0.119115,0.01600284,0.01959778,0.00281936,0.00280646,0.00095117,0.00108405,0.00537608,0.00414118,0.04391585,0.06686173,1.07073,0.6252409,0.6320387,0.3458897,0.1999605,0.1558281,1.454779,0.4125296,0.190906,0.153715,0.1541642,0.09072259,0.08491396,0.08668587,0.5983512,0.589615,0.2456634,0.558048,0.2625225,0.2206922,0.01404258,0.00883975,0.01368687,0.01045152,0.01218043,0.0157156,0.4745074,0.6638835,0.516171,0.5073838
0.28,0.2008252,0.199939,0.1870519,0.09451533,0.2086721,0.1579447,0.09764804,0.1513229,0.08867785,0.07749071,0.1938939,0.2772077,0.3583011,0.2690246,0.6650195,0.4027245,0.2938307,0.3296297,0.3394603,0.2262231,0.2687041,0.3320977,0.1611292,0.1071396,0.04712724,0.04892442,0.1177825,0.1397558,0.3340519,0.308253,2.083475,1.241022,0.4602447,0.4948355,0.1047842,0.07540955,0.09384076,0.06737541,0.1125725,0.0976215,0.01630839,0.01987636,0.00313658,0.00268611,0.00093427,0.00109658,0.00530363,0.00426245,0.04229155,0.07341358,0.801375,0.5771023,0.6869631,0.3945885,0.1668788,0.1987303,1.461469,0.4365783,0.2343507,0.1536818,0.1567533,0.08568432,0.09083188,0.07506263,0.8463085,0.673191,0.2389425,0.4859375,0.1902224,0.1739147,0.01471011,0.00944754,0.01470839,0.01093123,0.01271946,0.01491745,0.3941679,0.4752792,0.4564276,0.4764715
0.29,0.1770576,0.1822931,0.1834808,0.09102103,0.2449573,0.1830361,0.1173402,0.1604218,0.1071824,0.07285397,0.1963985,0.269805,0.3721956,0.2884143,0.6199911,0.3738081,0.3038735,0.301208,0.3637083,0.2603083,0.2768991,0.3418283,0.1620578,0.1194305,0.04269023,0.04988208,0.1250406,0.1525771,0.2617844,0.3021143,2.212842,1.369492,0.4649574,0.4372142,0.1284299,0.07304645,0.08557361,0.06667993,0.1366941,0.09485427,0.01426585,0.01898896,0.00342774,0.00265976,0.00094136,0.00112784,0.00598508,0.00462961,0.04402455,0.07447858,0.7239224,0.5989522,0.6826163,0.4084635,0.17529,0.1888571,1.366267,0.4678512,0.2652945,0.1647004,0.1295574,0.0871218,0.1057146,0.06925685,0.974057,0.773636,0.2278552,0.4129614,0.1739729,0.2007866,0.01425464,0.00917788,0.01390319,0.01160269,0.0131508,0.01486571,0.3524625,0.4297375,0.416519,0.4714275
0.3,0.1815232,0.1557887,0.1728694,0.09265778,0.2562014,0.2163294,0.1379153,0.1652745,0.1167123,0.07140599,0.225556,0.2456039,0.3817346,0.3053436,0.5567884,0.3296061,0.2960537,0.2801303,0.4028774,0.3083827,0.3013722,0.3563269,0.1620301,0.1185141,0.0434689,0.04968341,0.1145334,0.1444134,0.2172948,0.2618714,2.294484,1.502356,0.4883829,0.4625594,0.1432795,0.08339353,0.09022839,0.05963458,0.1366573,0.1034924,0.01562017,0.01827542,0.00368544,0.00277524,0.00094553,0.00112569,0.00635619,0.00521825,0.04706723,0.07520771,0.7107251,0.6430753,0.6595407,0.4024515,0.1854696,0.1559971,1.264392,0.4659585,0.2425427,0.1910694,0.1021091,0.09430051,0.110619,0.0671104,1.056301,0.8098975,0.2101175,0.3718819,0.1853635,0.2296444,0.01411213,0.00979489,0.01307526,0.01249835,0.01393886,0.01589583,0.3144499,0.4232455,0.375195,0.4612446
0.32,0.1781539,0.1554031,0.155922,0.08998259,0.2755572,0.2479022,0.1187294,0.1799318,0.1286702,0.08507089,0.2130569,0.208926,0.3874034,0.2874156,0.4514563,0.2949703,0.2626461,0.2810666,0.4010895,0.3782585,0.2889829,0.376083,0.1566726,0.09064391,0.04459055,0.05063193,0.1058501,0.1404439,0.2349872,0.3216984,2.206224,1.734801,0.4948068,0.4871305,0.1377008,0.1028125,0.0866892,0.06223257,0.1144385,0.09744369,0.01692416,0.01861886,0.00369047,0.00333645,0.00094851,0.00114219,0.00546079,0.00510634,0.04923188,0.07229748,0.7172949,0.7397895,0.5752915,0.3595421,0.19327,0.1673967,1.031479,0.3040337,0.1725142,0.2255257,0.08752149,0.08859415,0.1106069,0.07784357,1.006895,0.7388309,0.1857693,0.3796085,0.2017271,0.2365712,0.01558589,0.00947387,0.01473345,0.01620376,0.01333988,0.01812414,0.2734865,0.4274413,0.3345047,0.4287645
0.34,0.2062529,0.1869584,0.1264219,0.08467665,0.2747861,0.2276303,0.1046698,0.228508,0.1295312,0.09726788,0.23278,0.226085,0.3784525,0.2787344,0.4165204,0.2379651,0.1947742,0.2620154,0.3307278,0.3668849,0.2502454,0.3358454,0.1516487,0.08171505,0.04635338,0.04722732,0.1005572,0.1175285,0.2246535,0.2903095,1.824473,1.711602,0.5897337,0.510895,0.1153788,0.1041871,0.07889506,0.06237596,0.0992193,0.07531818,0.01980332,0.019789,0.00368455,0.00376981,0.00095329,0.00122412,0.0053182,0.00468929,0.05033904,0.06277699,0.7056769,0.795216,0.5515046,0.3015372,0.1805665,0.1879354,0.8801036,0.2607985,0.1343602,0.1874866,0.09752958,0.06849393,0.108556,0.07922172,0.9143489,0.6636776,0.1387769,0.318943,0.1779653,0.1955444,0.01502814,0.00927092,0.01393506,0.01609561,0.01608459,0.02164492,0.2902907,0.4187244,0.3739724,0.4014862
0.35,0.1840666,0.2070659,0.1203342,0.08631192,0.2671036,0.2073335,0.09997468,0.2357944,0.1281247,0.115799,0.2654032,0.2418099,0.3813553,0.2937349,0.4440199,0.2226816,0.1627909,0.2350368,0.3532701,0.3340641,0.2488068,0.3103001,0.1574849,0.07524979,0.05003535,0.05297892,0.09468275,0.09068117,0.1957164,0.2824367,1.640049,1.703484,0.5786051,0.5278878,0.1084422,0.09634133,0.07440493,0.06850401,0.09999144,0.07645745,0.02062389,0.01826663,0.00364174,0.00419872,0.00094339,0.00125297,0.00519535,0.00456843,0.04998368,0.06001433,0.6867477,0.7975668,0.5333744,0.2683593,0.1751411,0.1843252,0.8776543,0.2423592,0.1328578,0.1715815,0.09755843,0.06143937,0.1014016,0.0856933,0.9234328,0.6875393,0.1337133,0.2854888,0.1818543,0.1933432,0.01375029,0.00849657,0.01202972,0.01451785,0.01708264,0.02357889,0.3057757,0.4236109,0.3838384,0.3918379
