floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
5000,88,70,286,420,4983,3906
5000,88,70,278,420,4983,3906
5000,88,70,278,420,4983,3906
5000,123,20,478,120,4985,1116
