exterior column,interior column,beam
"W14, W24, W27, W30, W36","W14, W24, W27, W30, W36","W24, W27, W30, W36"
"W14, W24, W27, W30, W36","W14, W24, W27, W30, W36","W24, W27, W30, W36"
"W14, W24, W27, W30, W36","W14, W24, W27, W30, W36","W24, W27, W30, W36"
"W14, W24, W27, W30, W36","W14, W24, W27, W30, W36","W24, W27, W30, W36"
